페이지	키워드	제목	URL
11	킥보드	자동차-킥보도 사고, 38개 과실비율 공개	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002225667
11	킥보드	[기고]초소형 전기차 산업, 다양한 사업모델 꽃 피워야	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=008&aid=0004605899
11	킥보드	"전동 킥보드-자동차 사고가 난다면?"...손보협, 과실비율 기준 공개	
11	킥보드	"4·3 희생자 배·보상과 추가 진상조사 노력"	
11	킥보드	킥보드 탄 이준석과 원희룡	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=421&aid=0005432229
11	킥보드	전기 따르릉?...킥보드 탄 이준석	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=421&aid=0005432215
12	킥보드	킥보드 탄 이준석과 원희룡	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=421&aid=0005432224
12	킥보드	전기 따르릉?...킥보드 탄 이준석	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=421&aid=0005432216
12	킥보드	이준석, 제주에서 전동킥보드 타고 ‘따르릉 따르릉’	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010567309
12	킥보드	이준석, 제주 해안도로에서 ‘따르릉 따르릉’	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010567307
12	킥보드	이준석, 제주 해안도로에서 ‘따르릉 따르릉’	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010567306
12	킥보드	이준석, 제주에서 전동킥보드 타고 ‘따르릉 따르릉’	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010567308
12	킥보드	이준석, 제주 해안도로에서 ‘따르릉 따르릉’	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010567310
12	킥보드	“자전거 횡단로 건너는 킥보드 치면 차량 100% 과실”	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=022&aid=0003593349
12	킥보드	보도 주행 킥보드와 충돌땐 킥보드 과실 비율 40%	
12	킥보드	전동 킥보드, 횡단보도서 차 사고 나면 일방과실…과실 비율 첫 마련	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=056&aid=0011069163
13	킥보드	전동 킥보드 등 'PM 교통사고' 과실비율은?	
13	킥보드	보도 주행 킥보드와 자동차 충돌하면…킥보드 과실 비율 40%	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=025&aid=0003112240
13	킥보드	빔모빌리티, 장마철 대비 전동킥보드 안전 가이드라인 수립	
13	킥보드	빨간불에 횡단보도 건너는 킥보드, 차 사고시 일방과실	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=277&aid=0004925187
13	킥보드	킥보드 100% 과실은?···개인형이동장치 및 자동차 교통사고 과실비율 기준 공개	
